Year,Sex,Age,Value
0,0,0,408277.0
0,0,1,384884.0
0,0,2,368356.0
0,0,3,354733.0
0,0,4,341546.0
0,0,5,329722.0
0,0,6,318901.0
0,0,7,307886.0
0,0,8,297158.0
0,0,9,287065.0
0,0,10,275786.0
0,0,11,268281.0
0,0,12,264623.0
0,0,13,257735.0
0,0,14,249619.0
0,1,0,420220.66870960145
0,1,1,395044.05340243375
0,1,2,378139.95294166886
0,1,3,364161.68965114455
0,1,4,350655.1073922764
0,1,5,337979.6303082489
0,1,6,325632.0679942956
0,1,7,312543.7210015395
0,1,8,299392.101566548
0,1,9,286584.0774062709
0,1,10,270835.7910202747
0,1,11,256497.89868652704
0,1,12,244563.01535428487
0,1,13,229003.28956859733
0,1,14,213069.53350576194
0,2,0,12.331290398576188
0,2,1,45.94659756625563
0,2,2,98.04705833111821
0,2,3,166.31034885542778
0,2,4,247.89260772357633
0,2,5,790.3696917511081
0,2,6,2097.9320057044088
0,2,7,3960.278998460498
0,2,8,6191.8984334519955
0,2,9,8634.922593729101
0,2,10,12706.208979725314
0,2,11,19323.101313472947
0,2,12,27553.98464571512
0,2,13,35720.71043140265
0,2,14,43025.46649423807
1,0,0,418524.64951583627
1,0,1,393806.34448361
1,0,2,378553.09772280004
1,0,3,363693.88818075997
1,0,4,350813.06764693
1,0,5,337836.13863736
1,0,6,326035.41957022
1,0,7,315255.87384313
1,0,8,304323.5627269
1,0,9,293831.61622856
1,0,10,284043.2962115
1,0,11,273133.21343896
1,0,12,266119.09818039
1,0,13,263002.40205141
1,0,14,256629.2668507
1,1,0,431863.5620873958
1,1,1,404242.72349435836
1,1,2,388594.0154752955
1,1,3,373321.8530636779
1,1,4,360102.9094678998
1,1,5,346383.70602023083
1,1,6,333007.13216894027
1,1,7,320175.1904728842
1,1,8,306832.925842246
1,1,9,293763.7148555736
1,1,10,279580.9573415363
1,1,11,261837.59889044755
1,1,12,246763.01929500763
1,1,13,235023.21702480814
1,1,14,220587.39637372576
1,2,0,12.672948746229858
1,2,1,47.0164721516803
1,2,2,100.75766870449432
1,2,3,170.49373776207128
1,2,4,254.57165002014978
1,2,5,810.0227303791288
1,2,6,2145.4469303597475
1,2,7,4056.978264015764
1,2,8,6345.786354793986
1,2,9,8851.24868618636
1,2,10,13116.486773593728
1,2,11,19725.36413337241
1,2,12,27801.850721112383
1,2,13,36659.71914995184
1,2,14,44543.56038411421
2,0,0,425957.2027175553
2,0,1,403956.1098454663
2,0,2,387469.8499118654
2,0,3,373766.3286105468
2,0,4,359538.0561056818
2,0,5,346738.00636509765
2,0,6,333690.5301028665
2,0,7,321876.7850559623
2,0,8,311154.2345672774
2,0,9,300479.49720069463
2,0,10,290338.6710009581
2,0,11,280978.2613998162
2,0,12,270658.6587754788
2,0,13,264297.81587734696
2,0,14,261790.88326868054
2,1,0,439725.35363909643
2,1,1,415707.73195847525
2,1,2,397767.5901965196
2,1,3,383640.79022196797
2,1,4,369026.9408128441
2,1,5,355461.04380872555
2,1,6,340936.3654157477
2,1,7,327024.68875588296
2,1,8,313917.48665220226
2,1,9,300695.83465291956
2,1,10,286277.9382789574
2,1,11,270078.1471019125
2,1,12,251792.18455677695
2,1,13,237167.5844284097
2,1,14,226543.0255140985
2,2,0,12.940199590242262
2,2,1,48.45312886071816
2,2,2,103.30001580697999
2,2,3,175.42634539999014
2,2,4,261.15116896886923
2,2,5,834.2360358145725
2,2,6,2203.852804827819
2,2,7,4154.041062309576
2,2,8,6504.298586951263
2,2,9,9072.682934659762
2,2,10,13445.719574128656
2,2,11,20363.030763060517
2,2,12,28382.57404810496
2,2,13,37001.60384684514
2,2,14,45742.92228511341
3,0,0,433377.12788225786
3,0,1,411446.0983583678
3,0,2,397667.823476379
3,0,3,382664.1862943772
3,0,4,369501.11704192683
3,0,5,355284.79504480754
3,0,6,342354.45270409127
3,0,7,329264.4959905997
3,0,8,317495.75420896057
3,0,9,307039.96771918016
3,0,10,296739.2423947686
3,0,11,287060.9783645557
3,0,12,278336.34373036807
3,0,13,268732.59187415836
3,0,14,263041.7260837734
3,1,0,447488.5158144049
3,1,1,423588.491661538
3,1,2,409243.72863297287
3,1,3,392780.9982249293
3,1,4,379228.69529625634
3,1,5,364194.7684229847
3,1,6,349749.9316372186
3,1,7,334657.6706738689
3,1,8,320464.85351510084
3,1,9,307489.26997232664
3,1,10,292914.8700911778
3,1,11,276470.8717978075
3,1,12,259697.50909671097
3,1,13,242032.87638021537
3,1,14,228709.0060978542
3,2,0,13.19824328224917
3,2,1,49.489037136859785
3,2,2,106.5109210059026
3,2,3,179.93635870483695
3,2,4,268.79211300164644
3,2,5,855.3266938279806
3,2,6,2264.2266373244215
3,2,7,4258.688240489455
3,2,8,6650.463954413653
3,2,9,9289.67798937798
3,2,10,13767.547570962292
3,2,11,20853.808320756234
3,2,12,29281.779353746904
3,2,13,37764.719867969354
3,2,14,46177.24515961674
4,0,0,437455.14267938846
4,0,1,419029.14870559215
4,0,2,405372.3957839289
4,0,3,393017.7097588004
4,0,4,378580.4488506232
4,0,5,365460.3668652592
4,0,6,351154.0539998772
4,0,7,338198.88652057596
4,0,8,325163.8983866191
4,0,9,313650.4211446372
4,0,10,303544.5427985854
4,0,11,293673.6074592021
4,0,12,284584.95095752366
4,0,13,276521.5895868888
4,0,14,267543.37491619313
4,1,0,451635.54706600436
4,1,1,431466.90387560904
4,1,2,417294.80016585183
4,1,3,404373.4833019959
4,1,4,388527.9532177488
4,1,5,374573.44980136264
4,1,6,358680.29223770497
4,1,7,343662.49876163923
4,1,8,328283.34637050633
4,1,9,314199.26021244377
4,1,10,299782.67658300773
4,1,11,283066.1281630275
4,1,12,265942.8592987664
4,1,13,249631.87414204102
4,1,14,233312.7932120444
4,2,0,13.372583936421849
4,2,1,50.58306830728239
4,2,2,108.94853165969319
4,2,3,185.7723313550355
4,2,4,276.0655389303531
4,2,5,879.5126472264816
4,2,6,2320.4401032313144
4,2,7,4373.393239012662
4,2,8,6816.483904017529
4,2,9,9498.780459889418
4,2,10,14097.127946381343
4,2,11,21354.81656840105
4,2,12,29988.134839702994
4,2,13,38953.01635133552
4,2,14,47107.58346087644
5,0,0,442054.47499833774
5,0,1,423360.52511046047
5,0,2,413124.850943001
5,0,3,400824.49266918085
5,0,4,388979.4154933006
5,0,5,374571.1746251212
5,0,6,361343.0666797333
5,0,7,347009.0897976658
5,0,8,334103.1533626733
5,0,9,321323.17079622333
5,0,10,310160.5972722487
5,0,11,300483.8199989905
5,0,12,291202.8085449384
5,0,13,282776.2234192853
5,0,14,275335.7509186131
5,1,0,456394.65448053816
5,1,1,435842.7191518276
5,1,2,425316.801600461
5,1,3,412510.36426744075
5,1,4,400147.3370222429
5,1,5,383884.3452499296
5,1,6,369028.48208800994
